name,poi_class,display_category,lon,lat,ring_mi
,,Casual Eatery,-81.63229074000002,30.15610228,5
,,Specialty Store,-81.63228964,30.156032619999994,5
,,Vehicle Parts Store,-81.63225377000002,30.15487664999999,5
,,Doctor,-81.63210722329171,30.152999504958323,5
,,Preschool,-81.63212883,30.153106299999994,5
,,Financial Service,-81.63284765,30.15181244,5
,,Real Estate Service,-81.63295,30.15178999999999,5
,,Financial Service,-81.63295,30.15178999999999,5
,,Complementary And Alternative Medicine,-81.63304762,30.1517998,5
,,Building Or Construction Service,-81.63312373,30.15179007,5
,,Dental Clinic,-81.63300298,30.151444499999993,5
,,Financial Service,-81.63305216163546,30.151403608977233,5
,,Uncategorized,-81.633087,30.151398,5
,,Social Or Community Service,-81.63298674443125,30.151418747512565,5
,,Uncategorized,-81.6327062,30.15139290000001,5
,,Uncategorized,-81.6327062,30.15139290000001,5
,,Uncategorized,-81.6327062,30.15139290000001,5
,,Financial Service,-81.6327062,30.15139290000001,5
,,Hardware Home And Garden Store,-81.63231784,30.15209467,5
,,Automotive Service,-81.632047,30.152504000000004,5
,,Animal Or Pet Service,-81.63220474000002,30.151446810000003,5
,,Personal Or Beauty Service,-81.632168,30.150862,5
,,Animal Or Pet Service,-81.63215446,30.15116765000001,5
,,Personal Or Beauty Service,-81.63231372,30.1508245,5
,,Corporate Or Business Office,-81.63219619,30.150279819999994,5
,,Casual Eatery,-81.6321,30.150190000000002,5
,,Library,-81.63201587000002,30.150113989999994,5
,,Bank Or Credit Union,-81.632062,30.149217000000004,5
,,Pharmacy And Drug Store,-81.632059,30.149236999999992,5
,,Atm,-81.63204193115234,30.149185180664066,5
,,Doctor,-81.6321504,30.149203199999995,5
,,Books Music And Video Store,-81.632512,30.1491962,5
,,Financial Service,-81.632512,30.1491962,5
,,Uncategorized,-81.632512,30.1491962,5
,,Reproductive Perinatal And Womens Care,-81.633072,30.150376999999995,5
,,Reproductive Perinatal And Womens Care,-81.6330063,30.15042289999999,5
,,Reproductive Perinatal And Womens Care,-81.6330412701717,30.15037319818127,5
,,Dental Clinic,-81.6327058,30.150944,5
,,Dental Clinic,-81.6327058,30.150944,5
,,Dental Clinic,-81.63310499,30.15083523,5
,,Dental Clinic,-81.63309296,30.15110257,5
,,Specialized Health Care,-81.6332622,30.1510091,5
,,Specialized Health Care,-81.6332337,30.150986700000004,5
,,Dental Clinic,-81.63318916,30.150916510000002,5
,,Christian Place Of Worship,-81.6332,30.150020000000005,5
,,Gym,-81.6332,30.150020000000005,5
,,Community Center,-81.633229,30.149997000000003,5
,,Real Estate Service,-81.633137,30.149356000000004,5
,,Atm,-81.63322703,30.149360289999994,5
,,Christian Place Of Worship,-81.63361799157579,30.149883619824955,5
,,Personal Or Beauty Service,-81.633767235579,30.1492082579782,5
,,Restaurant,-81.63405295,30.149323569999986,5
,,Personal Or Beauty Service,-81.634138,30.14922046,5
,,Personal Or Beauty Service,-81.63408979,30.14928022999999,5
,,Coffee Shop,-81.63407276,30.14915001,5
,,Animal Or Pet Service,-81.63400617,30.149179629999995,5
,,Fashion And Apparel Store,-81.634164,30.14933,5
,,Personal Or Beauty Service,-81.634263,30.149423599999995,5
,,Christian Place Of Worship,-81.634045,30.149854,5
,,Sport Or Fitness Facility,-81.63395,30.150490000000012,5
,,Health Care,-81.63382434844972,30.151041679819432,5
,,Financial Service,-81.63400616589112,30.151699303171707,5
,,Financial Service,-81.63374675,30.151641329999993,5
,,Financial Service,-81.633643982837,30.151741647154,5
,,Financial Service,-81.63360629447746,30.15175082415442,5
,,Uncategorized,-81.63361903497028,30.151742863145106,5
,,Financial Service,-81.6336194,30.151750309999994,5
,,Financial Service,-81.6335549,30.15165325,5
,,Financial Service,-81.63345638,30.151442569999993,5
,,Financial Service,-81.63334722000002,30.151547410000003,5
,,Attorney Or Law Firm,-81.633268,30.151396999999996,5
,,Dental Clinic,-81.6331829961625,30.151373331767868,5
,,B2B Industrial And Machine Service,-81.6332778,30.15147298,5
,,Financial Service,-81.63327126000001,30.15148497,5
