naics_code,naics_title_ours,selected_felten_code,selected_felten_name,aiie_score,match_basis,manual_notes,review_source,latest_year_employment,latest_year_weight,step4_match_flag
8121,Personal care services,8121,Personal Care Services,-0.4751154,raw_exact_match,,notebook_raw_appendix_b,737089.0,0.0063899462236085254,True
4234,Commercial equip. merchant wholesalers,4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,1.041147,raw_exact_match,,notebook_raw_appendix_b,714727.0,0.006196086353969535,True
7223,Special food services,7223,Special Food Services,-1.060899,raw_exact_match,,notebook_raw_appendix_b,691718.0,0.005996617534520312,True
4921,Couriers and express delivery services,4921,Couriers and Express Delivery Services,-1.150431,raw_exact_match,,notebook_raw_appendix_b,690990.0,0.0059903063823381645,True
5614,Business support services,5614,Business Support Services,1.704965,raw_exact_match,,notebook_raw_appendix_b,650540.0,0.005639638654635045,True
5311,Lessors of real estate,5310,Real Estate,0.5238351,raw_normalized_match,,notebook_raw_appendix_b,624498.0,0.005413876257481901,True
5132,NAICS 5132 Software publishers,5112,Software Publishers,1.966309,raw_normalized_match,,notebook_raw_appendix_b,616021.0,0.00534038774505324,True
4571,NAICS 4571 Gasoline stations,4471,Gasoline Stations,-0.3108229,raw_normalized_match,,notebook_raw_appendix_b,614971.0,0.005331285121713604,True
5611,Office administrative services,5611,Office Administrative Services,1.753769,raw_exact_match,,notebook_raw_appendix_b,594084.0,0.005150212270575531,True
6232,Residential mental health facilities,6232,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",0.8572415,raw_exact_match,,notebook_raw_appendix_b,546395.0,0.004736788456819435,True
5239,Other financial investment activities,5230,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",2.218665,raw_normalized_match,,notebook_raw_appendix_b,542659.0,0.004704400456060501,True
4413,"Auto parts, accessories, and tire stores",4413,"Automotive Parts, Accessories, and Tire Stores",-0.6871853,raw_exact_match,,notebook_raw_appendix_b,519796.0,0.004506197334713742,True
6116,Other schools and instruction,6116,Other Schools and Instruction,0.6729133,raw_exact_match,,notebook_raw_appendix_b,516630.0,0.004478750758053468,True
2371,Utility system construction,2371,Utility System Construction,-1.176381,raw_exact_match,,notebook_raw_appendix_b,512319.0,0.004441377987370448,True
4591,"NAICS 4591 Sporting goods, hobby, and musical instrument retailers",4511,"Sporting Goods, Hobby, and Musical Instrument Stores",0.2090943,raw_normalized_match,,notebook_raw_appendix_b,476318.0,0.004129279375132129,True
5418,"Advertising, pr, and related services",5418,"Advertising, Public Relations, and Related Services",1.305607,raw_exact_match,,notebook_raw_appendix_b,475967.0,0.004126236498187165,True
4599,NAICS 4599 Other miscellaneous retailers,4539,Other Miscellaneous Store Retailers,0.00781,raw_normalized_match,,notebook_raw_appendix_b,475599.0,0.00412304624543575,True
4251,Electronic markets and agents and brokers,4251,Wholesale Electronic Markets and Agents and Brokers,0.9876717,raw_exact_match,,notebook_raw_appendix_b,463178.0,0.004015366545910399,True
5222,Nondepository credit intermediation,5220,Credit Intermediation and Related Activities (5221 And 5223 only),1.888684,raw_exact_match,,notebook_raw_appendix_b,461046.0,0.003996883885948395,True
5182,"Data processing, hosting and related services",5182,"Data Processing, Hosting, and Related Services",1.74286,raw_exact_match,,notebook_raw_appendix_b,447680.0,0.0038810118254173714,True
5171,Wired telecommunications carriers,5170,Telecommunications,0.2466103,raw_normalized_match,,notebook_raw_appendix_b,440866.0,0.0038219401345256764,True
8139,Professional and similar organizations,8139,"Business, Professional, Labor, Political, and Similar Organizations",1.360341,raw_exact_match,,notebook_raw_appendix_b,426950.0,0.003701300033197701,True
4842,Specialized freight trucking,,,,,,,417587.0,0.003620130640503404,False
8129,Other personal services,8129,Other Personal Services,-0.7702041,raw_exact_match,,notebook_raw_appendix_b,413397.0,0.0035838068387957136,True
4491,NAICS 4491 Furniture and home furnishings retailers,,,,,,,388899.0,0.0033714296325343777,False
3364,Aerospace product and parts manufacturing,3364,Aerospace Product and Parts Manufacturing,0.5189539,raw_exact_match,,notebook_raw_appendix_b,384751.0,0.003335469935760273,True
